Date,Open,High,Low,Close,Adj Close,Volume
11-05-2021,34572.74,34572.74,34075.31,34269.16,34269.16,411960000.00
10-05-2021,34785.27,35091.56,34741.57,34742.82,34742.82,361620000.00
09-05-2021,34578.27,34811.39,34464.31,34777.76,34777.76,303400000.00
08-05-2021,34245.11,34561.29,34185.06,34548.53,34548.53,315430000.00
07-05-2021,34163.99,34331.20,34039.66,34230.34,34230.34,253180000.00
06-05-2021,34080.20,34147.78,33765.68,34133.03,34133.03,407860000.00
05-05-2021,33904.89,34221.06,33904.89,34113.23,34113.23,289770000.00
04-05-2021,33988.75,33988.75,33784.96,33874.85,33874.85,374890000.00
03-05-2021,33855.64,34087.21,33744.28,34060.36,34060.36,408450000.00
02-05-2021,33860.46,33946.60,33805.56,33820.38,33820.38,335820000.00
01-05-2021,33932.13,34043.98,33870.46,33984.93,33984.93,289030000.00
30-04-2021,34044.23,34148.94,33941.37,33981.57,33981.57,279300000.00
29-04-2021,33804.52,34157.57,33713.29,34043.49,34043.49,346380000.00
28-04-2021,34109.88,34126.57,33717.19,33815.90,33815.90,344470000.00
27-04-2021,33808.30,34160.34,33773.80,34137.31,34137.31,290300000.00
26-04-2021,34034.18,34034.18,33687.01,33821.30,33821.30,350960000.00
25-04-2021,34182.38,34182.38,33980.56,34077.63,34077.63,312540000.00
24-04-2021,34058.16,34256.75,34058.16,34200.67,34200.67,343760000.00
23-04-2021,33788.53,34068.73,33788.53,34035.99,34035.99,319680000.00
22-04-2021,33668.95,33911.25,33668.95,33730.89,33730.89,315330000.00
21-04-2021,33721.16,33741.64,33545.84,33677.27,33677.27,324480000.00
20-04-2021,33775.06,33786.19,33665.54,33745.40,33745.40,327370000.00
19-04-2021,33526.19,33810.87,33526.19,33800.60,33800.60,316410000.00
18-04-2021,33469.89,33506.80,33342.64,33503.57,33503.57,304040000.00
17-04-2021,33444.98,33521.76,33347.96,33446.26,33446.26,273440000.00
16-04-2021,33500.02,33544.79,33380.43,33430.24,33430.24,297940000.00
15-04-2021,33222.38,33617.95,33222.38,33527.19,33527.19,344270000.00
14-04-2021,33054.58,33167.17,32985.35,33153.21,33153.21,311880000.00
13-04-2021,33116.04,33173.77,32980.57,32981.55,32981.55,414140000.00
12-04-2021,33127.88,33170.93,32988.92,33066.96,33066.96,307510000.00
11-04-2021,33087.55,33259.00,32905.13,33171.37,33171.37,351610000.00
10-04-2021,32681.07,33098.83,32681.07,33072.88,33072.88,382170000.00
09-04-2021,32346.81,32672.69,32071.41,32619.48,32619.48,411990000.00
08-04-2021,32470.88,32787.99,32418.15,32420.06,32420.06,399390000.00
07-04-2021,32691.50,32753.77,32356.28,32423.15,32423.15,385840000.00
06-04-2021,32601.82,32810.35,32512.53,32731.20,32731.20,383500000.00
05-04-2021,32858.36,32858.36,32505.07,32627.97,32627.97,811890000.00
04-04-2021,32928.16,33227.78,32831.25,32862.30,32862.30,418480000.00
03-04-2021,32825.52,33047.58,32782.18,33015.37,33015.37,3912000.00
02-04-2021,32966.75,32966.75,32778.23,32825.95,32825.95,3863700.00
01-04-2021,32798.84,32973.40,32629.75,32953.46,32953.46,3600800.00
31-03-2021,32462.40,32793.32,32462.40,32778.64,32778.64,3464000.00
30-03-2021,32354.50,32661.59,32345.70,32485.59,32485.59,4000200.00
29-03-2021,31906.96,32389.50,31906.96,32297.02,32297.02,4091100.00
28-03-2021,31892.35,32150.32,31822.64,31832.74,31832.74,4586900.00
27-03-2021,31512.15,32148.04,31512.15,31802.44,31802.44,4969800.00
26-03-2021,31029.18,31580.33,30766.81,31496.30,31496.30,5018100.00
25-03-2021,31289.01,31461.97,30547.53,30924.14,30924.14,5378500.00
24-03-2021,31352.96,31563.31,31260.14,31270.09,31270.09,4096600.00
23-03-2021,31535.37,31623.27,31377.16,31391.52,31391.52,3372700.00
22-03-2021,31065.90,31668.34,31065.90,31535.51,31535.51,3856700.00
21-03-2021,31401.29,31450.89,30911.37,30932.37,30932.37,5322500.00
20-03-2021,31955.94,31984.77,31293.32,31402.01,31402.01,4541100.00
19-03-2021,31499.75,32009.64,31421.29,31961.86,31961.86,4101500.00
18-03-2021,31501.89,31653.38,31158.76,31537.35,31537.35,4604100.00
17-03-2021,31381.12,31653.48,31286.57,31521.69,31521.69,3872100.00
16-03-2021,31504.13,31647.53,31469.34,31494.32,31494.32,3530700.00
15-03-2021,31558.60,31558.60,31285.32,31493.34,31493.34,3259900.00
14-03-2021,31485.61,31643.70,31338.76,31613.02,31613.02,3435100.00
13-03-2021,31472.08,31608.63,31443.48,31522.75,31522.75,3292100.00
12-03-2021,31420.80,31475.31,31347.80,31458.40,31458.40,2630900.00
